employee_id,employee_name,department_id,job_title,hire_date,employment_level,location,employment_type
82,Dev Jain,5,Cybersecurity Analyst,2019-04-14,Senior,Delhi NCR,Full-Time
83,Zoya Nair,2,L&D Specialist,2024-10-23,Mid,Delhi NCR,Full-Time
84,Kunal Khan,6,Process Executive,2021-07-01,Mid,Mumbai,Contract
85,Yash Gokhale,7,Sales Analyst,2025-01-13,Junior,Mumbai,Contract
86,Varun Verma,8,Customer Support Executive,2021-11-23,Mid,Chennai,Full-Time
87,Komal Yadav,9,Insights Analyst,2023-07-01,Junior,Bengaluru,Full-Time
88,Isha Kapoor,2,Learning Program Manager,2023-11-08,Senior,Remote,Full-Time
89,Kabir Sethi,5,Systems Analyst,2026-03-14,Junior,Mumbai,Full-Time
90,Rohan Kapoor,9,Senior Research Analyst,2020-09-25,Senior,Nagpur,Full-Time
91,Dev Verma,1,People Operations Specialist,2021-08-24,Mid,Chennai,Full-Time
92,Riya Sharma,9,Market Research Associate,2025-11-12,Mid,Mumbai,Full-Time
93,Gaurav Naik,7,Account Manager,2023-06-25,Mid,Remote,Full-Time
94,Meera Naik,8,Support Analyst,2019-01-17,Senior,Delhi NCR,Contract
95,Naina Thakur,5,IT Support Specialist,2024-03-17,Mid,Chennai,Full-Time
96,Mihir Joshi,4,Content Strategist,2020-10-26,Mid,Mumbai,Contract
97,Dev Thakur,10,Analytics Consultant,2025-09-27,Junior,Delhi NCR,Contract
98,Aniket Bajaj,10,BI Analyst,2023-11-19,Mid,Delhi NCR,Full-Time
99,Rahul Singh,5,IT Support Specialist,2021-05-23,Mid,Pune,Full-Time
100,Sneha Sethi,6,Operations Manager,2025-10-27,Mid,Mumbai,Full-Time
101,Karan Kulkarni,6,Operations Analyst,2023-04-07,Mid,Delhi NCR,Full-Time
102,Aman Mishra,2,Learning Program Manager,2018-09-25,Senior,Pune,Full-Time
103,Ananya Deshmukh,2,Training Analyst,2024-04-24,Senior,Nagpur,Contract
104,Radhika Khan,6,Operations Manager,2024-12-08,Junior,Remote,Full-Time
105,Shreya Patil,9,Research Analyst,2022-10-23,Mid,Hyderabad,Full-Time
106,Chetan Chavan,3,Financial Analyst,2018-11-29,Mid,Bengaluru,Full-Time
107,Ishaan Patil,5,Systems Analyst,2025-09-24,Junior,Delhi NCR,Full-Time
108,Diya Jadhav,7,Sales Analyst,2023-02-03,Junior,Hyderabad,Full-Time
109,Isha Bajaj,2,Training Analyst,2020-07-09,Senior,Mumbai,Full-Time
110,Rohan Jadhav,2,Instructional Designer,2021-06-13,Senior,Remote,Full-Time
111,Isha Bhosale,5,Cybersecurity Analyst,2021-05-30,Senior,Remote,Full-Time
112,Rutuja Shah,1,HR Coordinator,2018-06-13,Lead,Delhi NCR,Full-Time
113,Rohan Mishra,1,HR Executive,2025-07-24,Mid,Delhi NCR,Contract
114,Radhika Yadav,1,HR Business Partner,2026-06-25,Junior,Delhi NCR,Full-Time
115,Pranav Mehta,10,Analytics Consultant,2022-11-21,Mid,Chennai,Full-Time
116,Bhavna Shah,4,Brand Analyst,2025-07-07,Junior,Remote,Full-Time
117,Riya Patil,7,Account Manager,2022-06-29,Senior,Mumbai,Full-Time
118,Meera Sethi,3,Senior Financial Analyst,2019-04-20,Lead,Pune,Contract
119,Komal Kapoor,5,Cloud Engineer,2018-08-11,Mid,Remote,Full-Time
120,Ishaan Jain,3,Finance Executive,2024-02-28,Junior,Mumbai,Full-Time
121,Zoya Kulkarni,10,Reporting Analyst,2024-10-29,Mid,Pune,Contract
122,Anjali Jain,5,Cybersecurity Analyst,2020-07-09,Lead,Mumbai,Full-Time
123,Zoya Gupta,5,Cloud Engineer,2026-01-14,Junior,Remote,Full-Time
124,Deepa Jadhav,3,Accounts Analyst,2024-03-07,Junior,Mumbai,Full-Time
125,Priya Gupta,8,Customer Support Executive,2022-08-27,Mid,Delhi NCR,Full-Time
126,Pranav Sethi,8,Customer Success Associate,2024-07-03,Mid,Remote,Contract
127,Rahul Khan,5,Cloud Engineer,2021-09-23,Mid,Chennai,Full-Time
128,Diya Sethi,10,Analytics Consultant,2020-09-05,Senior,Pune,Full-Time
129,Kunal Khan,8,Customer Success Associate,2025-11-28,Mid,Remote,Full-Time
130,Aniket Sethi,2,Instructional Designer,2024-08-14,Junior,Mumbai,Contract
131,Mohit Sethi,10,Senior Data Analyst,2018-03-04,Senior,Bengaluru,Full-Time
132,Yash Khan,5,Cybersecurity Analyst,2020-12-21,Senior,Mumbai,Full-Time
133,Kabir Yadav,9,Insights Analyst,2023-12-26,Mid,Pune,Contract
134,Ishaan Deshmukh,1,HR Executive,2025-01-29,Junior,Nagpur,Full-Time
135,Neha Kulkarni,8,Support Analyst,2025-11-23,Mid,Pune,Full-Time
136,Komal Iyer,4,Content Strategist,2018-08-18,Senior,Hyderabad,Contract
137,Bhavna Kulkarni,5,Software Engineer,2025-08-24,Mid,Nagpur,Contract
138,Avni Deshmukh,7,Account Manager,2023-08-01,Senior,Delhi NCR,Full-Time
139,Nikhil Mane,3,Senior Financial Analyst,2018-02-08,Lead,Delhi NCR,Contract
140,Sakshi Rao,2,Learning Program Manager,2022-12-15,Senior,Nagpur,Full-Time
141,Kunal Sethi,5,Cloud Engineer,2021-05-22,Mid,Mumbai,Full-Time
142,Yash Rao,5,Software Engineer,2022-01-10,Mid,Nagpur,Full-Time
143,Akash Jadhav,1,HR Business Partner,2025-09-10,Mid,Delhi NCR,Full-Time
144,Deepa Kapoor,6,Quality Analyst,2021-12-14,Mid,Bengaluru,Full-Time
145,Neha Patil,9,Research Coordinator,2025-04-01,Junior,Bengaluru,Full-Time
146,Chetan Joshi,9,Market Research Associate,2021-08-31,Mid,Chennai,Contract
147,Harsh Jadhav,6,Supply Chain Analyst,2021-01-21,Lead,Remote,Full-Time
148,Nikhil Mehta,8,Support Analyst,2021-10-19,Senior,Hyderabad,Full-Time
149,Meera Sharma,10,Reporting Analyst,2024-04-01,Mid,Mumbai,Full-Time
150,Sakshi Khan,5,IT Support Specialist,2026-05-26,Junior,Mumbai,Full-Time
151,Riya Shah,5,Systems Analyst,2024-12-12,Mid,Mumbai,Full-Time
152,Anjali Singh,9,Research Coordinator,2021-05-22,Senior,Pune,Full-Time
153,Rahul Singh,10,Analytics Consultant,2019-04-21,Mid,Remote,Full-Time
154,Rahul Iyer,7,Business Development Executive,2026-05-02,Junior,Nagpur,Full-Time
155,Isha Patil,8,Support Analyst,2024-11-26,Junior,Hyderabad,Full-Time
156,Aniket More,5,Cybersecurity Analyst,2020-08-25,Lead,Chennai,Contract
157,Meera Gupta,9,Market Research Associate,2025-03-26,Junior,Mumbai,Full-Time
158,Sameer Sharma,1,People Operations Specialist,2020-05-18,Senior,Chennai,Full-Time
159,Siddharth Chavan,10,BI Analyst,2024-05-01,Mid,Hyderabad,Full-Time
160,Sameer Sharma,4,Brand Analyst,2019-08-28,Senior,Bengaluru,Full-Time
161,Aditi Singh,6,Operations Analyst,2019-12-16,Mid,Chennai,Full-Time
162,Akash Singh,6,Operations Manager,2018-03-06,Mid,Mumbai,Full-Time
163,Aniket Jain,5,Systems Analyst,2022-01-22,Mid,Pune,Contract
164,Akash Pawar,4,Brand Analyst,2025-03-20,Mid,Nagpur,Full-Time
165,Ananya Shah,5,Systems Analyst,2022-12-22,Junior,Mumbai,Full-Time
166,Zoya Shah,4,Brand Analyst,2025-02-06,Junior,Delhi NCR,Full-Time
167,Yash Nair,6,Process Executive,2022-10-29,Junior,Nagpur,Full-Time
168,Nikhil Khan,9,Insights Analyst,2022-08-22,Mid,Mumbai,Full-Time
169,Avni More,5,Cloud Engineer,2025-06-17,Junior,Mumbai,Full-Time
170,Rutuja Thakur,8,Team Lead - Support,2019-01-17,Senior,Bengaluru,Contract
171,Varun Nair,1,HR Business Partner,2024-04-19,Mid,Chennai,Full-Time
172,Ishaan Kapoor,9,Research Coordinator,2026-02-01,Junior,Chennai,Full-Time
173,Pooja Deshmukh,6,Operations Analyst,2020-05-21,Mid,Chennai,Contract
174,Naina Sethi,5,Cybersecurity Analyst,2021-02-15,Senior,Pune,Contract
175,Chetan Gupta,10,Reporting Analyst,2025-10-11,Junior,Chennai,Full-Time
176,Meera Mehta,1,People Operations Specialist,2019-08-10,Senior,Pune,Full-Time
177,Nikhil Shah,8,Support Analyst,2020-05-31,Senior,Chennai,Full-Time
178,Akash Singh,7,Business Development Executive,2024-05-13,Mid,Pune,Full-Time
179,Sameer Jain,4,Brand Analyst,2025-06-04,Junior,Delhi NCR,Full-Time
180,Anjali Rao,8,Customer Experience Analyst,2019-04-12,Senior,Remote,Contract
181,Sameer Patil,7,Sales Executive,2018-07-06,Mid,Hyderabad,Full-Time
182,Ishaan Shah,10,Reporting Analyst,2019-07-17,Senior,Pune,Full-Time
183,Rahul Naik,8,Customer Success Associate,2019-12-21,Mid,Chennai,Full-Time
184,Aditi Jain,5,Software Engineer,2026-04-28,Junior,Chennai,Contract
185,Mohit Rao,5,Software Engineer,2022-07-15,Mid,Nagpur,Full-Time
186,Shreya Jain,10,Senior Data Analyst,2019-12-05,Lead,Chennai,Full-Time
187,Sakshi Khan,5,Software Engineer,2019-03-10,Mid,Nagpur,Full-Time
188,Bhavna Mehta,8,Customer Experience Analyst,2020-06-26,Senior,Mumbai,Contract
189,Tanvi Bajaj,6,Process Executive,2021-12-02,Mid,Hyderabad,Full-Time
190,Avni Gokhale,2,L&D Coordinator,2020-03-19,Mid,Bengaluru,Full-Time
191,Neha More,5,IT Support Specialist,2024-04-28,Mid,Chennai,Full-Time
192,Janhavi Saxena,5,IT Support Specialist,2023-04-05,Mid,Pune,Full-Time
193,Aditya Patil,6,Operations Manager,2021-06-25,Senior,Delhi NCR,Full-Time
194,Priya Khan,7,Account Manager,2019-01-05,Senior,Pune,Full-Time
195,Kabir Kapoor,9,Insights Analyst,2024-05-30,Mid,Bengaluru,Full-Time
196,Ananya Bhosale,5,Cybersecurity Analyst,2021-11-07,Senior,Bengaluru,Full-Time
197,Radhika Bhosale,3,Senior Financial Analyst,2022-11-29,Senior,Bengaluru,Full-Time
198,Anushka Shah,5,Cybersecurity Analyst,2021-03-04,Senior,Pune,Full-Time
199,Kunal Rao,1,HR Business Partner,2019-01-23,Senior,Bengaluru,Full-Time
200,Kavya Rao,1,HR Business Partner,2025-06-11,Junior,Bengaluru,Contract
201,Kunal Yadav,7,Account Manager,2018-12-14,Senior,Bengaluru,Contract
202,Komal Sharma,1,People Operations Specialist,2025-07-09,Junior,Delhi NCR,Full-Time
203,Pranav Joshi,10,Reporting Analyst,2021-10-31,Senior,Bengaluru,Full-Time
204,Rahul Bajaj,1,HR Coordinator,2019-02-19,Senior,Pune,Full-Time
205,Kunal Singh,9,Market Research Associate,2024-12-06,Junior,Bengaluru,Contract
206,Aditya Iyer,8,Team Lead - Support,2019-11-10,Senior,Hyderabad,Full-Time
207,Neha Deshmukh,6,Process Executive,2026-06-09,Junior,Delhi NCR,Full-Time
208,Rohan Jain,9,Insights Analyst,2020-03-05,Senior,Delhi NCR,Full-Time
209,Deepa Saxena,6,Supply Chain Analyst,2022-09-11,Senior,Bengaluru,Full-Time
210,Riya Jadhav,1,People Operations Specialist,2023-05-23,Senior,Mumbai,Full-Time
211,Priya Singh,1,HR Business Partner,2019-10-19,Senior,Mumbai,Full-Time
212,Mohit Patil,8,Team Lead - Support,2021-12-02,Senior,Chennai,Full-Time
213,Aditi Shah,5,IT Support Specialist,2018-12-01,Senior,Chennai,Full-Time
214,Pooja Naik,2,Learning Program Manager,2021-03-21,Lead,Bengaluru,Full-Time
215,Aditi Gupta,5,Cybersecurity Analyst,2018-01-22,Lead,Hyderabad,Full-Time
216,Naina Nair,6,Quality Analyst,2026-02-26,Junior,Hyderabad,Full-Time
217,Shreya Jain,2,Training Analyst,2020-09-03,Senior,Mumbai,Full-Time
218,Rohan Deshmukh,6,Supply Chain Analyst,2018-03-09,Senior,Bengaluru,Full-Time
219,Rohan Iyer,5,Systems Analyst,2024-11-23,Junior,Mumbai,Contract
220,Rahul Bhosale,10,Senior Data Analyst,2018-10-05,Lead,Pune,Full-Time
221,Komal Gupta,9,Senior Research Analyst,2018-06-28,Senior,Pune,Full-Time
222,Varun Yadav,8,Customer Support Executive,2021-11-13,Mid,Chennai,Full-Time
223,Tanvi Kulkarni,1,HR Business Partner,2024-02-15,Mid,Remote,Full-Time
224,Nikhil Patil,8,Team Lead - Support,2018-09-16,Senior,Hyderabad,Full-Time
225,Janhavi Bhosale,8,Team Lead - Support,2018-06-21,Senior,Remote,Full-Time
226,Kavya Sethi,1,HR Executive,2025-04-03,Junior,Chennai,Full-Time
227,Meera Thakur,2,Instructional Designer,2022-02-16,Mid,Nagpur,Full-Time
228,Komal Jadhav,10,Reporting Analyst,2023-07-26,Mid,Mumbai,Full-Time
229,Chetan Chavan,1,People Operations Specialist,2024-10-03,Mid,Chennai,Full-Time
230,Neha Kapoor,1,HR Business Partner,2025-05-31,Junior,Bengaluru,Full-Time
231,Kavya Kapoor,4,Brand Analyst,2018-06-23,Senior,Delhi NCR,Full-Time
232,Priya Saxena,1,HR Analyst,2025-02-24,Junior,Pune,Full-Time
233,Aditya Singh,9,Research Analyst,2025-08-09,Mid,Hyderabad,Full-Time
234,Avni More,5,Cloud Engineer,2024-05-12,Junior,Chennai,Full-Time
235,Radhika Verma,5,Cloud Engineer,2018-11-11,Senior,Chennai,Full-Time
236,Chetan Pawar,3,Finance Executive,2019-04-10,Mid,Mumbai,Full-Time
237,Shreya Rao,8,Team Lead - Support,2025-11-23,Junior,Hyderabad,Full-Time
238,Zoya Jain,2,Training Analyst,2018-10-31,Senior,Chennai,Full-Time
239,Janhavi Sethi,7,Business Development Executive,2024-03-02,Mid,Bengaluru,Full-Time
240,Arjun Deshmukh,6,Supply Chain Analyst,2019-05-13,Lead,Remote,Full-Time
241,Riya Singh,5,Software Engineer,2024-06-02,Mid,Mumbai,Full-Time
242,Radhika Iyer,5,Cloud Engineer,2026-01-15,Junior,Mumbai,Full-Time
243,Nikhil More,10,Reporting Analyst,2025-03-16,Junior,Bengaluru,Contract
244,Arjun Iyer,7,Regional Sales Manager,2020-01-16,Senior,Pune,Full-Time
245,Kabir Jadhav,6,Process Executive,2021-05-30,Mid,Chennai,Contract
246,Sneha Chavan,9,Insights Analyst,2018-11-20,Senior,Bengaluru,Full-Time
247,Bhavna Mishra,6,Supply Chain Analyst,2019-01-18,Senior,Bengaluru,Full-Time
248,Karan Bajaj,7,Sales Executive,2026-01-30,Mid,Pune,Full-Time
249,Harsh Yadav,1,HR Analyst,2025-03-12,Mid,Nagpur,Contract
250,Rahul Rao,7,Regional Sales Manager,2023-08-02,Senior,Delhi NCR,Full-Time
251,Nikhil Mehta,3,Financial Analyst,2025-09-06,Junior,Bengaluru,Full-Time
252,Sameer Singh,5,IT Support Specialist,2023-03-18,Mid,Chennai,Full-Time
253,Priya Chavan,10,Reporting Analyst,2019-06-20,Senior,Chennai,Full-Time
254,Avni Nair,5,IT Support Specialist,2020-12-31,Senior,Delhi NCR,Full-Time
255,Bhavna Bajaj,9,Research Coordinator,2022-09-09,Mid,Chennai,Full-Time
256,Nikhil Pawar,8,Team Lead - Support,2023-08-03,Senior,Remote,Full-Time
257,Gaurav Joshi,1,People Operations Specialist,2022-05-30,Mid,Pune,Full-Time
258,Tanvi More,4,Brand Analyst,2024-09-13,Mid,Delhi NCR,Contract
259,Harsh Thakur,1,HR Business Partner,2019-03-17,Senior,Nagpur,Full-Time
260,Deepa Verma,1,HR Coordinator,2018-07-29,Senior,Delhi NCR,Full-Time
261,Isha Bajaj,5,Software Engineer,2023-01-19,Mid,Bengaluru,Full-Time
262,Komal Gokhale,5,Systems Analyst,2021-10-20,Mid,Hyderabad,Contract
263,Aditya Singh,6,Quality Analyst,2023-08-11,Junior,Remote,Contract
264,Arjun Shah,5,IT Support Specialist,2024-10-19,Mid,Bengaluru,Full-Time
265,Sakshi Shah,10,Analytics Consultant,2026-04-17,Mid,Delhi NCR,Full-Time
266,Anjali Iyer,8,Support Analyst,2022-02-17,Mid,Pune,Contract
267,Anushka Mishra,5,Systems Analyst,2025-05-09,Mid,Pune,Contract
268,Shreya Gokhale,5,Cloud Engineer,2023-11-18,Mid,Bengaluru,Full-Time
269,Aditi Jain,1,People Operations Specialist,2025-11-09,Junior,Nagpur,Full-Time
270,Anushka Kapoor,5,Cloud Engineer,2020-04-15,Senior,Pune,Full-Time
271,Varun Pawar,6,Operations Manager,2024-04-16,Mid,Chennai,Full-Time
272,Kavya More,5,IT Support Specialist,2023-12-24,Mid,Remote,Full-Time
273,Diya Rao,10,Analytics Consultant,2021-02-16,Senior,Hyderabad,Full-Time
274,Mihir Gupta,4,Content Strategist,2021-11-29,Mid,Mumbai,Contract
275,Meera Bajaj,7,Account Manager,2022-04-05,Senior,Bengaluru,Full-Time
276,Neha Yadav,1,People Operations Specialist,2026-01-04,Junior,Remote,Full-Time
277,Riya Naik,3,FP&A Analyst,2024-01-16,Mid,Bengaluru,Full-Time
278,Akash More,6,Process Executive,2024-07-31,Junior,Hyderabad,Full-Time
279,Aniket More,2,L&D Specialist,2021-09-14,Mid,Pune,Contract
280,Pooja Pawar,10,Senior Data Analyst,2019-10-09,Senior,Hyderabad,Full-Time
281,Anushka Mehta,4,Digital Marketing Executive,2025-03-30,Junior,Pune,Full-Time
282,Aditya Bajaj,5,Cybersecurity Analyst,2019-12-22,Lead,Nagpur,Full-Time
283,Ishaan Mane,3,Financial Analyst,2026-05-26,Mid,Pune,Full-Time
284,Karan Rao,6,Supply Chain Analyst,2019-03-16,Lead,Remote,Contract
285,Nikhil Gupta,6,Supply Chain Analyst,2019-07-04,Lead,Hyderabad,Full-Time
286,Harsh Naik,4,Digital Marketing Executive,2026-03-14,Junior,Pune,Full-Time
287,Deepa Kulkarni,8,Team Lead - Support,2024-05-14,Mid,Nagpur,Contract
288,Chetan Singh,4,Brand Analyst,2022-06-30,Mid,Chennai,Full-Time
289,Siddharth Gupta,1,People Operations Specialist,2022-04-21,Mid,Delhi NCR,Contract
290,Komal Naik,7,Sales Analyst,2018-02-16,Senior,Pune,Full-Time
291,Priya Jadhav,5,Cybersecurity Analyst,2019-10-17,Senior,Delhi NCR,Full-Time
292,Diya Deshmukh,7,Sales Analyst,2021-04-23,Senior,Remote,Full-Time
293,Yash Chavan,5,Cloud Engineer,2024-10-17,Junior,Hyderabad,Full-Time
294,Ananya Bhosale,7,Account Manager,2024-09-06,Mid,Chennai,Full-Time
295,Riya Mane,10,BI Analyst,2019-04-05,Mid,Bengaluru,Full-Time
296,Vedant Joshi,4,Brand Analyst,2023-11-02,Mid,Mumbai,Contract
297,Priya Iyer,5,Cloud Engineer,2018-08-16,Senior,Pune,Contract
298,Meera Gupta,5,IT Support Specialist,2021-06-16,Senior,Hyderabad,Contract
299,Aman Chavan,1,HR Executive,2022-10-02,Mid,Mumbai,Full-Time
300,Arjun Gokhale,1,HR Business Partner,2022-08-02,Mid,Chennai,Full-Time
301,Vedant More,5,Systems Analyst,2022-03-27,Mid,Chennai,Full-Time
302,Arjun Thakur,2,L&D Specialist,2024-01-10,Mid,Pune,Full-Time
303,Rahul Iyer,10,Analytics Consultant,2023-03-12,Mid,Hyderabad,Full-Time
304,Mihir Gokhale,5,IT Support Specialist,2019-09-28,Senior,Pune,Full-Time
305,Aman Nair,6,Operations Analyst,2018-03-06,Mid,Remote,Contract
306,Aditya Khan,7,Account Manager,2018-07-19,Mid,Hyderabad,Contract
307,Ishaan Deshmukh,3,FP&A Analyst,2018-08-20,Mid,Chennai,Full-Time
308,Radhika Deshmukh,4,Marketing Manager,2019-08-10,Lead,Nagpur,Full-Time
309,Rutuja Jadhav,4,Content Strategist,2024-03-30,Senior,Nagpur,Contract
310,Varun Khan,5,Cybersecurity Analyst,2021-11-11,Senior,Chennai,Full-Time
311,Siddharth Chavan,5,Cloud Engineer,2021-05-13,Senior,Hyderabad,Full-Time
312,Nikhil Jadhav,4,Marketing Analyst,2025-12-08,Junior,Nagpur,Full-Time
313,Harsh Joshi,6,Operations Manager,2019-07-04,Senior,Mumbai,Full-Time
314,Deepa Patil,9,Insights Analyst,2019-01-14,Senior,Nagpur,Contract
315,Siddharth Mishra,6,Process Executive,2018-10-26,Mid,Remote,Full-Time
316,Aarav Joshi,9,Market Research Associate,2021-09-25,Mid,Mumbai,Full-Time
317,Dev Khan,10,BI Analyst,2025-10-20,Junior,Chennai,Full-Time
318,Janhavi Gupta,5,IT Support Specialist,2023-12-26,Mid,Remote,Full-Time
319,Kabir Jadhav,1,HR Analyst,2026-02-07,Junior,Chennai,Full-Time
320,Rutuja Singh,5,IT Support Specialist,2024-04-23,Senior,Delhi NCR,Contract
